entry,top year,ranking,artist,track,release year,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key,mode,duration_ms,popularity,genres
0,2009,1,37i9dQZF1DX4UkKv8ED8jp,I Gotta Feeling,2009-01-01,0.744,0.766,-6.375,0.0265,0.0873,0,0.509,0.61,127.966,0,1,289133,76.0,"['dance pop', 'pop', 'pop rap']"
1,2009,2,37i9dQZF1DX4UkKv8ED8jp,Poker Face,2008-01-01,0.851,0.806,-4.62,0.0787,0.118,1.64E-06,0.121,0.787,118.999,4,1,237200,78.0,"['art pop', 'dance pop', 'pop']"
2,2009,3,37i9dQZF1DX4UkKv8ED8jp,Halo,2008-11-17,0.508,0.72,-5.908,0.0628,0.272,0,0.0563,0.472,79.983,11,0,261640,76.0,"['dance pop', 'pop', 'r&b']"
3,2009,4,37i9dQZF1DX4UkKv8ED8jp,Sexy Bitch (feat. Akon),2009-08-21,0.813,0.627,-5.018,0.0486,0.0771,0.000616,0.131,0.801,130.011,11,0,195853,68.0,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']"
4,2009,5,37i9dQZF1DX4UkKv8ED8jp,Right Round,2009-03-30,0.72,0.672,-6.852,0.0551,0.009,0,0.232,0.705,124.986,7,1,204640,77.0,"['dance pop', 'edm', 'miami hip hop', 'pop', 'pop rap']"
5,2009,6,37i9dQZF1DX4UkKv8ED8jp,Love Story,2008-11-11,0.617,0.741,-3.97,0.0311,0.131,0,0.0772,0.306,118.984,2,1,236267,78.0,['pop']
6,2009,7,37i9dQZF1DX4UkKv8ED8jp,Heartless,2008-11-24,0.79,0.647,-5.983,0.136,0.0515,0,0.248,0.654,87.999,10,0,211000,86.0,"['chicago rap', 'hip hop', 'rap']"
7,2009,8,37i9dQZF1DX4UkKv8ED8jp,Empire State Of Mind,2009-09-08,0.491,0.956,-1.538,0.392,0.0295,0,0.46,0.811,173.585,11,1,276920,84.0,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap']"
8,2009,9,37i9dQZF1DX4UkKv8ED8jp,Sex on Fire,2008-09-23,0.542,0.905,-5.653,0.054,0.00172,0.0104,0.136,0.374,153.398,9,1,203347,83.0,"['modern rock', 'rock']"
9,2009,10,37i9dQZF1DX4UkKv8ED8jp,I'm Yours,2008-05-12,0.703,0.444,-9.331,0.0417,0.559,0,0.0973,0.712,150.96,11,1,242947,81.0,"['acoustic pop', 'dance pop', 'neo mellow', 'pop', 'pop rock']"
10,2009,11,37i9dQZF1DX4UkKv8ED8jp,Bad Romance,2009-11-05,0.696,0.921,-3.755,0.0363,0.00314,5.24E-05,0.0842,0.714,119.001,0,1,294573,84.0,"['art pop', 'dance pop', 'pop']"
11,2009,12,37i9dQZF1DX4UkKv8ED8jp,Walking On A Dream,2008-10-03,0.871,0.701,-5.594,0.0458,0.257,7.52E-06,0.0589,0.716,126.975,5,0,198440,80.0,"['australian dance', 'australian electropop', 'dance rock', 'indietronica', 'neo-synthpop']"
12,2009,13,37i9dQZF1DX4UkKv8ED8jp,Run This Town,2009-09-08,0.632,0.924,-1.802,0.29,0.281,0,0.263,0.441,86.844,1,1,267520,82.0,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap']"
13,2009,14,37i9dQZF1DX4UkKv8ED8jp,Down,2009-01-01,0.727,0.68,-4.498,0.0286,0.0101,0,0.0821,0.728,132.012,2,1,212507,79.0,"['dance pop', 'pop rap', 'post-teen pop']"
14,2009,15,37i9dQZF1DX4UkKv8ED8jp,Monster,2009-08-21,0.64,0.957,-2.336,0.0741,0.0431,0,0.0789,0.692,134.992,8,1,178013,79.0,"['alternative metal', 'christian alternative rock', 'christian music', 'christian rock', 'post-grunge']"
15,2009,16,37i9dQZF1DX4UkKv8ED8jp,Best I Ever Had,2009,0.395,0.922,-2.176,0.375,0.19,0,0.134,0.558,162.361,1,1,257690,78.0,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop', 'rap', 'toronto rap']"
16,2009,17,37i9dQZF1DX4UkKv8ED8jp,Party In The U.S.A.,2009-01-01,0.652,0.698,-4.667,0.042,0.00112,0.000115,0.0886,0.47,96.021,10,0,202067,78.0,"['dance pop', 'pop']"
17,2009,18,37i9dQZF1DX4UkKv8ED8jp,She Wolf,2009,0.865,0.69,-7.448,0.0443,0.285,0.0162,0.225,0.867,121.983,7,1,188867,78.0,"['colombian pop', 'dance pop', 'latin pop', 'pop']"
18,2009,19,37i9dQZF1DX4UkKv8ED8jp,Kiss Me Thru The Phone,2008-01-01,0.758,0.712,-3.781,0.112,0.0185,0,0.0677,0.795,149.998,7,1,193387,78.0,"['atl hip hop', 'chicago bop', 'dance pop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
19,2009,20,37i9dQZF1DX4UkKv8ED8jp,Use Somebody,2008-09-23,0.276,0.715,-5.356,0.0432,0.00552,0.000417,0.201,0.173,137.028,0,1,230760,78.0,"['modern rock', 'rock']"
