,top year,top k,ranking,artist,track,release year,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key,mode,duration_ms,popularity,top genre
0,2020,1,1,The Weeknd,Blinding Lights,2020-03-20,0.514,0.73,-5.934,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,1,1,3.334,90.0,r&b
1,2020,1,2,Tones And I,Dance Monkey,2021-07-16,0.824,0.587,-6.401,0.0937,0.69,0.000105,0.149,0.514,98.029,6,0,3.4906333333333333,75.0,pop
2,2020,1,3,Roddy Ricch,The Box,2019-12-06,0.896,0.586,-6.687,0.0559,0.104,0.0,0.79,0.642,116.971,10,0,3.27755,81.0,hip hop
3,2020,1,4,SAINt JHN,Roses - Imanbek Remix,2019-09-13,0.785,0.721,-5.457,0.0506,0.0149,0.00432,0.285,0.894,121.962,8,1,2.9369833333333335,58.0,hip hop
4,2020,1,5,Dua Lipa,Don't Start Now,2020-03-27,0.793,0.793,-4.521,0.083,0.0123,0.0,0.0951,0.679,123.95,11,0,3.0548333333333333,81.0,pop
5,2020,1,6,DaBaby,ROCKSTAR (feat. Roddy Ricch),2020-04-17,0.746,0.69,-7.956,0.164,0.247,0.0,0.101,0.497,89.977,11,1,3.0288833333333334,77.0,hip hop
6,2020,1,7,Harry Styles,Watermelon Sugar,2019-12-13,0.548,0.816,-4.209,0.0465,0.122,0.0,0.335,0.557,95.39,0,1,2.9,88.0,pop
7,2020,1,8,Powfu,death bed (coffee for your head),2020-02-08,0.726,0.431,-8.765,0.135,0.731,0.0,0.696,0.348,144.026,8,0,2.8888833333333332,81.0,lo-fi chill
8,2020,1,9,Trevor Daniel,Falling,2020-03-26,0.785,0.431,-8.756,0.0364,0.123,0.0,0.0887,0.236,127.085,10,0,2.6563666666666665,77.0,hip hop
9,2020,1,10,Lewis Capaldi,Someone You Loved,2019-05-17,0.501,0.405,-5.679,0.0319,0.751,0.0,0.105,0.446,109.891,1,1,3.036016666666667,87.0,pop
10,2020,1,11,KAROL G,Tusa,2019-11-07,0.803,0.715,-3.28,0.298,0.295,0.000134,0.0574,0.574,101.085,2,1,3.3493333333333335,76.0,latin
11,2020,1,12,Arizona Zervas,ROXANNE,2019-10-10,0.621,0.601,-5.616,0.148,0.0522,0.0,0.46,0.457,116.735,6,0,2.7272666666666665,76.0,pop
12,2020,1,13,Post Malone,Circles,2019-09-06,0.695,0.762,-3.497,0.0395,0.192,0.00244,0.0863,0.553,120.042,0,1,3.588,85.0,hip hop
13,2020,1,14,Lil Mosey,Blueberry Faygo,2020-02-06,0.774,0.554,-7.909,0.0383,0.207,0.0,0.132,0.349,99.034,0,1,2.7091166666666666,74.0,hip hop
14,2020,1,15,Justin Bieber,Intentions (feat. Quavo),2020-02-14,0.806,0.546,-6.637,0.0575,0.3,0.0,0.102,0.874,147.986,9,1,3.5477833333333333,75.0,pop
15,2020,1,16,Drake,Toosie Slide,2020-05-01,0.83,0.49,-8.82,0.209,0.289,3.04e-06,0.113,0.845,81.604,1,0,4.11765,67.0,hip hop
16,2020,1,17,Lewis Capaldi,Before You Go,2019-11-22,0.459,0.575,-4.858,0.0573,0.604,0.0,0.0885,0.183,111.881,3,1,3.5851166666666665,83.0,pop
17,2020,1,18,Doja Cat,Say So,2019-11-07,0.787,0.673,-4.583,0.159,0.264,3.35e-06,0.0904,0.779,110.962,11,0,3.9648833333333333,77.0,pop
18,2020,1,19,Maroon 5,Memories Remix (feat. Nipsey Hussle & YG),2021-06-11,0.807,0.396,-7.415,0.0545,0.855,0.0,0.0805,0.7,91.159,11,1,3.1581,64.0,pop
19,2020,1,20,Future,Life Is Good (feat. Drake),2020-05-15,0.795,0.574,-6.903,0.487,0.067,0.0,0.15,0.537,142.053,2,0,3.9653,71.0,hip hop
20,2020,1,21,Jawsh 685,Savage Love (Laxed - Siren Beat),2020-06-11,0.767,0.481,-8.52,0.0803,0.234,0.0,0.269,0.761,150.076,0,0,2.85625,74.0,pop
21,2020,1,22,Harry Styles,Adore You,2019-12-13,0.676,0.771,-3.675,0.0483,0.0237,7e-06,0.102,0.569,99.048,8,1,3.4522166666666667,84.0,pop
22,2020,1,23,Topic,Breaking Me,2019-12-19,0.789,0.72,-5.652,0.218,0.223,0.0,0.129,0.664,122.031,8,0,2.7799,76.0,dance
23,2020,1,24,24kGoldn,Mood (feat. iann dior),2021-03-26,0.701,0.716,-3.671,0.0361,0.174,0.0,0.324,0.732,91.007,7,0,2.342216666666667,81.0,hip hop
24,2020,1,25,Billie Eilish,everything i wanted,2019-11-13,0.704,0.225,-14.454,0.0994,0.902,0.657,0.106,0.243,120.006,6,0,4.090433333333333,83.0,pop
25,2020,0,26,Shawn Mendes,Señorita,2019-06-19,0.759,0.548,-6.049,0.029,0.0392,0.0,0.0828,0.749,116.967,9,0,3.18,80.0,pop
26,2020,0,27,Billie Eilish,bad guy,2019-03-29,0.701,0.425,-10.965,0.375,0.328,0.13,0.1,0.562,135.128,7,1,3.2348,82.0,pop
27,2020,0,28,Cardi B,WAP (feat. Megan Thee Stallion),2020-08-07,0.935,0.454,-7.509,0.375,0.0194,0.0,0.0824,0.357,133.073,1,1,3.1256833333333334,78.0,pop
28,2020,0,29,Surfaces,Sunday Best,2019-01-06,0.878,0.525,-6.832,0.0578,0.183,0.0,0.0714,0.694,112.022,5,1,2.64285,74.0,r&b
29,2020,0,30,Eminem,Godzilla (feat. Juice WRLD),2020-01-17,0.808,0.745,-5.26,0.342,0.145,0.0,0.292,0.829,165.995,10,0,3.513333333333333,82.0,hip hop
30,2020,0,31,Justin Bieber,Yummy,2020-02-14,0.676,0.506,-6.652,0.0958,0.345,0.0,0.118,0.497,145.842,9,0,3.4753333333333334,68.0,pop
31,2020,0,32,Dua Lipa,Break My Heart,2020-03-27,0.73,0.729,-3.434,0.0884,0.167,1.39e-06,0.349,0.467,113.011,4,0,3.697,77.0,pop
32,2020,0,33,BTS,Dynamite,2020-11-20,0.746,0.765,-4.41,0.0993,0.0112,0.0,0.0936,0.737,114.044,6,0,3.3175666666666666,81.0,pop
33,2020,0,34,BENEE,Supalonely (feat. Gus Dapperton),2020-11-13,0.862,0.631,-4.746,0.0515,0.291,0.000209,0.123,0.841,128.978,7,1,3.7248,61.0,pop
34,2020,0,35,Surf Mesa,ily (i love you baby) (feat. Emilee),2019-11-26,0.674,0.774,-7.567,0.0892,0.0686,0.00188,0.393,0.33,112.05,11,0,2.94245,75.0,dance
