entry,top year,ranking,artist,track,release year,genres,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key,mode,duration_ms,popularity
0,2010,1,Bruno Mars,Just the Way You Are,2010-10-05,"['dance pop', 'pop']",0.635,0.841,-5.379,0.0422,0.0134,0,0.0622,0.424,109.021,5,1,220734,81.0
1,2010,2,Eminem,Love The Way You Lie,2010-06-18,"['detroit hip hop', 'hip hop', 'rap']",0.749,0.925,-5.034,0.227,0.241,0,0.52,0.641,86.989,10,1,263373,82.0
2,2010,3,Lady Gaga,Bad Romance,2009-11-05,"['art pop', 'dance pop', 'pop']",0.696,0.921,-3.755,0.0363,0.00314,5.24E-05,0.0842,0.714,119.001,0,1,294573,81.0
3,2010,4,Stromae,Alors on danse - Radio Edit,2010-01-01,"['belgian pop', 'g-house']",0.791,0.59,-9.206,0.0793,0.0994,0.00203,0.065,0.714,119.951,1,0,206067,77.0
4,2010,5,Kesha,TiK ToK,2010-01-01,"['dance pop', 'pop', 'post-teen pop']",0.755,0.837,-2.718,0.142,0.0991,0,0.289,0.714,120.028,2,0,199693,80.0
5,2010,6,David Guetta,Memories (feat. Kid Cudi),2009-08-21,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",0.561,0.87,-6.103,0.343,0.0015,2.82E-06,0.246,0.498,129.98,8,1,210093,67.0
6,2010,7,Taio Cruz,Dynamite,2010-01-01,"['dance pop', 'edm', 'pop', 'pop rap']",0.751,0.783,-3.724,0.0859,0.00379,0,0.036,0.816,119.975,4,1,202613,79.0
7,2010,8,Rihanna,Only Girl (In The World),2010-01-01,"['barbadian pop', 'pop', 'urban contemporary']",0.789,0.706,-4.233,0.0429,0.112,1.71E-05,0.0586,0.638,125.911,11,0,235493,82.0
8,2010,9,Katy Perry,California Gurls,2012-03-12,"['dance pop', 'pop']",0.791,0.754,-3.729,0.0569,0.00446,0,0.163,0.425,125.014,0,1,234653,73.0
9,2010,10,Train,"Hey, Soul Sister",2010-12-01,"['dance pop', 'neo mellow', 'pop', 'pop rock']",0.673,0.886,-4.44,0.0431,0.185,0,0.0826,0.795,97.012,1,0,216773,80.0
10,2010,11,Bruno Mars,Talking to the Moon,2010-10-05,"['dance pop', 'pop']",0.498,0.59,-4.721,0.032,0.511,0,0.107,0.0784,145.867,1,0,217867,80.0
11,2010,12,Justin Bieber,Baby,2010-01-01,"['canadian pop', 'pop']",0.728,0.859,-5.237,0.137,0.0401,0,0.111,0.535,65.043,5,0,214240,80.0
12,2010,13,Eminem,Not Afraid,2010-06-18,"['detroit hip hop', 'hip hop', 'rap']",0.855,0.954,-1.19,0.264,0.529,0,0.205,0.668,114.635,0,0,248133,79.0
13,2010,14,Usher,DJ Got Us Fallin' In Love (feat. Pitbull),2010-03-30,"['atl hip hop', 'contemporary r&b', 'dance pop', 'pop', 'r&b', 'south carolina hip hop', 'urban contemporary']",0.663,0.861,-3.398,0.109,0.0338,0,0.082,0.654,119.963,7,0,220800,78.0
14,2010,15,Don Omar,Danza Kuduro,2010-01-01,"['latin hip hop', 'puerto rican pop', 'reggaeton', 'urbano latino']",0.4,0.915,-4.89,0.28,0.0846,0,0.0503,0.878,88.917,0,1,198773,77.0
15,2010,16,Owl City,Fireflies,2009-01-01,"['indietronica', 'pop rock']",0.512,0.662,-6.797,0.0439,0.0275,0,0.118,0.472,180.114,3,1,228347,76.0
16,2010,17,Jay Sean,Down,2009-01-01,"['dance pop', 'pop rap', 'post-teen pop', 'urban contemporary']",0.727,0.68,-4.498,0.0286,0.0101,0,0.0821,0.728,132.012,2,1,212507,76.0
17,2010,18,Rihanna,Rude Boy,2009-11-20,"['barbadian pop', 'pop', 'urban contemporary']",0.563,0.75,-4.496,0.127,0.113,0,0.0788,0.812,173.906,11,1,222920,80.0
18,2010,19,Flo Rida,Club Can't Handle Me (feat. David Guetta),2010-11-24,"['dance pop', 'edm', 'miami hip hop', 'pop', 'pop rap']",0.616,0.869,-3.911,0.0327,0.0283,0,0.064,0.473,127.966,0,1,234560,74.0
19,2010,20,B.o.B,Nothin' on You (feat. Bruno Mars),2010-04-27,"['atl hip hop', 'dance pop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop']",0.688,0.853,-5.814,0.0493,0.386,0,0.0862,0.743,103.993,10,1,268320,74.0
20,2010,21,Taio Cruz,Break Your Heart,2010-01-01,"['dance pop', 'edm', 'pop', 'pop rap']",0.607,0.934,-4.217,0.0314,0.0327,0,0.0909,0.568,122.01,3,1,201547,74.0
21,2010,22,Mike Posner,Cooler Than Me - Single Mix,2010-08-09,"['dance pop', 'edm', 'pop', 'pop rap']",0.768,0.82,-4.63,0.0474,0.179,0,0.689,0.625,129.965,7,0,213293,74.0
22,2010,23,Nelly,Just A Dream,2010-11-12,"['dance pop', 'hip hop', 'pop rap', 'southern hip hop', 'st louis rap']",0.531,0.752,-6.161,0.0305,0.0421,0,0.12,0.103,89.917,1,1,237800,73.0
23,2010,24,Lady Gaga,Telephone,2009-11-05,"['art pop', 'dance pop', 'pop']",0.824,0.836,-5.903,0.0404,0.00521,0.000817,0.112,0.716,122.014,3,1,220640,72.0
24,2010,25,B.o.B,Airplanes (feat. Hayley Williams of Paramore),2010-04-27,"['atl hip hop', 'dance pop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop']",0.66,0.867,-4.285,0.116,0.11,0,0.0368,0.377,93.033,6,0,180480,73.0
25,2010,26,Rihanna,What's My Name?,2010-01-01,"['barbadian pop', 'pop', 'urban contemporary']",0.689,0.784,-2.972,0.074,0.182,0,0.0843,0.561,99.954,2,1,263173,74.0
26,2010,27,Usher,OMG (feat. will.i.am),2010-03-30,"['atl hip hop', 'contemporary r&b', 'dance pop', 'pop', 'r&b', 'south carolina hip hop', 'urban contemporary']",0.781,0.745,-5.81,0.0332,0.198,1.14E-05,0.36,0.326,129.998,4,0,269493,71.0
27,2010,28,Katy Perry,Teenage Dream,2010-01-01,"['dance pop', 'pop']",0.719,0.798,-4.582,0.0361,0.0162,2.34E-06,0.134,0.591,120.011,10,1,227741,71.0
28,2010,29,Iyaz,Replay,2009-08-11,"['dance pop', 'pop rap', 'post-teen pop']",0.706,0.751,-6.323,0.0708,0.173,0,0.168,0.195,91.031,9,1,182307,71.0
