,entry,top year,ranking,artist,track,release year,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key,mode,duration_ms,popularity,top genre
0,0,2010,1,Bruno Mars,Just the Way You Are,2010-10-05,0.635,0.841,-5.379,0.0422,0.0134,0.0,0.0622,0.424,109.021,5,1,220734,81.0,pop
1,1,2010,2,Eminem,Love The Way You Lie,2010-06-18,0.749,0.925,-5.034,0.227,0.241,0.0,0.52,0.641,86.989,10,1,263373,82.0,hip hop
2,2,2010,3,Lady Gaga,Bad Romance,2009-11-05,0.696,0.921,-3.755,0.0363,0.00314,5.24e-05,0.0842,0.714,119.001,0,1,294573,81.0,pop
3,3,2010,4,Stromae,Alors on danse - Radio Edit,2010-01-01,0.791,0.59,-9.206,0.0793,0.0994,0.00203,0.065,0.714,119.951,1,0,206067,77.0,pop
4,4,2010,5,Kesha,TiK ToK,2010-01-01,0.755,0.837,-2.718,0.142,0.0991,0.0,0.289,0.714,120.028,2,0,199693,80.0,pop
5,5,2010,6,David Guetta,Memories (feat. Kid Cudi),2009-08-21,0.561,0.87,-6.103,0.343,0.0015,2.82e-06,0.246,0.498,129.98,8,1,210093,67.0,dance
6,6,2010,7,Taio Cruz,Dynamite,2010-01-01,0.751,0.783,-3.724,0.0859,0.00379,0.0,0.036,0.816,119.975,4,1,202613,79.0,pop
7,7,2010,8,Rihanna,Only Girl (In The World),2010-01-01,0.789,0.706,-4.233,0.0429,0.112,1.71e-05,0.0586,0.638,125.911,11,0,235493,82.0,pop
8,8,2010,9,Katy Perry,California Gurls,2012-03-12,0.791,0.754,-3.729,0.0569,0.00446,0.0,0.163,0.425,125.014,0,1,234653,73.0,pop
9,9,2010,10,Train,"Hey, Soul Sister",2010-12-01,0.673,0.886,-4.44,0.0431,0.185,0.0,0.0826,0.795,97.012,1,0,216773,80.0,pop
10,10,2010,11,Bruno Mars,Talking to the Moon,2010-10-05,0.498,0.59,-4.721,0.032,0.511,0.0,0.107,0.0784,145.867,1,0,217867,80.0,pop
11,11,2010,12,Justin Bieber,Baby,2010-01-01,0.728,0.859,-5.237,0.137,0.0401,0.0,0.111,0.535,65.043,5,0,214240,80.0,pop
12,12,2010,13,Eminem,Not Afraid,2010-06-18,0.855,0.954,-1.19,0.264,0.529,0.0,0.205,0.668,114.635,0,0,248133,79.0,hip hop
13,13,2010,14,Usher,DJ Got Us Fallin' In Love (feat. Pitbull),2010-03-30,0.663,0.861,-3.398,0.109,0.0338,0.0,0.082,0.654,119.963,7,0,220800,78.0,hip hop
14,14,2010,15,Don Omar,Danza Kuduro,2010-01-01,0.4,0.915,-4.89,0.28,0.0846,0.0,0.0503,0.878,88.917,0,1,198773,77.0,hip hop
15,15,2010,16,Owl City,Fireflies,2009-01-01,0.512,0.662,-6.797,0.0439,0.0275,0.0,0.118,0.472,180.114,3,1,228347,76.0,indie
16,16,2010,17,Jay Sean,Down,2009-01-01,0.727,0.68,-4.498,0.0286,0.0101,0.0,0.0821,0.728,132.012,2,1,212507,76.0,pop
17,17,2010,18,Rihanna,Rude Boy,2009-11-20,0.563,0.75,-4.496,0.127,0.113,0.0,0.0788,0.812,173.906,11,1,222920,80.0,pop
18,18,2010,19,Flo Rida,Club Can't Handle Me (feat. David Guetta),2010-11-24,0.616,0.869,-3.911,0.0327,0.0283,0.0,0.064,0.473,127.966,0,1,234560,74.0,pop
19,19,2010,20,B.o.B,Nothin' on You (feat. Bruno Mars),2010-04-27,0.688,0.853,-5.814,0.0493,0.386,0.0,0.0862,0.743,103.993,10,1,268320,74.0,hip hop
20,20,2010,21,Taio Cruz,Break Your Heart,2010-01-01,0.607,0.934,-4.217,0.0314,0.0327,0.0,0.0909,0.568,122.01,3,1,201547,74.0,pop
21,21,2010,22,Mike Posner,Cooler Than Me - Single Mix,2010-08-09,0.768,0.82,-4.63,0.0474,0.179,0.0,0.689,0.625,129.965,7,0,213293,74.0,pop
22,22,2010,23,Nelly,Just A Dream,2010-11-12,0.531,0.752,-6.161,0.0305,0.0421,0.0,0.12,0.103,89.917,1,1,237800,73.0,pop
23,23,2010,24,Lady Gaga,Telephone,2009-11-05,0.824,0.836,-5.903,0.0404,0.00521,0.000817,0.112,0.716,122.014,3,1,220640,72.0,pop
24,24,2010,25,B.o.B,Airplanes (feat. Hayley Williams of Paramore),2010-04-27,0.66,0.867,-4.285,0.116,0.11,0.0,0.0368,0.377,93.033,6,0,180480,73.0,hip hop
25,25,2010,26,Rihanna,What's My Name?,2010-01-01,0.689,0.784,-2.972,0.074,0.182,0.0,0.0843,0.561,99.954,2,1,263173,74.0,pop
26,26,2010,27,Usher,OMG (feat. will.i.am),2010-03-30,0.781,0.745,-5.81,0.0332,0.198,1.14e-05,0.36,0.326,129.998,4,0,269493,71.0,hip hop
27,27,2010,28,Katy Perry,Teenage Dream,2010-01-01,0.719,0.798,-4.582,0.0361,0.0162,2.34e-06,0.134,0.591,120.011,10,1,227741,71.0,pop
28,28,2010,29,Iyaz,Replay,2009-08-11,0.706,0.751,-6.323,0.0708,0.173,0.0,0.168,0.195,91.031,9,1,182307,71.0,pop
29,29,2010,30,Travie McCoy,Billionaire (feat. Bruno Mars),2010-03-09,0.633,0.673,-6.403,0.258,0.297,0.0,0.206,0.659,86.776,6,0,211160,70.0,hip hop
30,30,2010,31,Lady Gaga,Alejandro,2009-11-05,0.623,0.793,-6.63,0.0462,0.000397,0.0015,0.375,0.36,98.998,11,0,274213,70.0,pop
31,31,2010,32,Trey Songz,Bottoms Up (feat. Nicki Minaj),2010-09-14,0.844,0.601,-5.283,0.157,0.0205,0.0,0.385,0.331,73.989,1,1,242013,70.0,pop
32,32,2010,33,Two Door Cinema Club,What You Know,2010-02-17,0.563,0.739,-4.239,0.0416,0.00073,1.45e-05,0.0822,0.775,139.0,6,0,191707,69.0,indie
33,33,2010,34,Rihanna,Te Amo,2009-11-20,0.567,0.707,-5.455,0.0818,0.541,0.000176,0.1,0.751,171.917,8,0,208427,71.0,pop
34,34,2010,35,Alicia Keys,Empire State of Mind (Part II) Broken Down,2009-12-15,0.484,0.368,-7.784,0.0341,0.74,3.82e-05,0.118,0.142,92.923,6,1,216480,69.0,pop
35,35,2010,36,Chris Brown,Deuces (feat. Tyga & Kevin McCall),2011-03-22,0.692,0.736,-5.109,0.11,0.0324,0.0,0.0787,0.217,73.987,1,1,276560,69.0,pop
36,36,2010,37,Young Money,BedRock,2009-01-01,0.733,0.664,-6.163,0.295,0.102,0.0,0.191,0.557,148.005,8,1,288133,68.0,pop
37,37,2010,38,Far East Movement,Like A G6,2010-01-01,0.435,0.837,-8.126,0.449,0.00676,0.0,0.117,0.778,124.913,3,1,216893,68.0,hip hop
38,38,2010,39,Neon Trees,Animal,2010-01-01,0.482,0.833,-5.611,0.0449,0.000346,0.0,0.365,0.74,148.039,5,1,212293,68.0,pop
39,39,2010,40,Black Eyed Peas,The Time (Dirty Bit),2010-01-01,0.816,0.813,-7.798,0.0664,0.0662,2.77e-06,0.602,0.436,127.979,6,0,307640,68.0,pop
40,40,2010,41,Lil Wayne,Right Above It,2010-01-01,0.376,0.841,-4.348,0.356,0.0435,0.0,0.578,0.463,76.052,3,0,271947,68.0,hip hop
41,41,2010,42,Drake,Over,2010-01-01,0.35,0.845,-5.614,0.2,0.0107,0.0,0.123,0.45,99.643,7,1,233560,68.0,hip hop
42,42,2010,43,Kesha,Your Love Is My Drug,2010-01-01,0.826,0.612,-3.891,0.0982,0.00681,0.0,0.0889,0.756,120.057,1,1,187133,67.0,pop
43,43,2010,44,Aloe Blacc,I Need A Dollar,2010-09-28,0.84,0.481,-7.123,0.0336,0.199,0.0,0.0873,0.955,95.497,6,0,243053,67.0,r&b
44,44,2010,45,Shontelle,Impossible,2010-01-01,0.6,0.624,-3.631,0.0334,0.385,0.0,0.125,0.529,90.036,8,1,226533,67.0,pop
45,45,2010,46,Timbaland,If We Ever Meet Again (Featuring Katy Perry),2009-01-01,0.652,0.605,-7.371,0.0393,0.00481,0.0,0.0605,0.394,126.091,8,1,292707,67.0,pop
46,46,2010,47,Jay Sean,Do You Remember,2009-01-01,0.854,0.674,-4.896,0.0705,0.0204,0.0,0.101,0.818,125.845,11,1,210800,67.0,pop
47,47,2010,48,"Edward Maya, Vika Jigulina",Stereo Love - Radio Edit,2010-02-02,0.799,0.783,-3.896,0.0322,0.0346,0.0186,0.0757,0.586,127.041,1,0,184573,67.0,pop
48,48,2010,49,Kesha,Take It Off,2010-01-01,0.729,0.675,-5.292,0.0286,4.14e-05,0.00126,0.0867,0.74,125.036,5,0,215200,67.0,pop
49,49,2010,50,Taylor Swift,Back To December,2010-10-25,0.529,0.67,-4.663,0.0303,0.117,0.0,0.334,0.286,141.893,2,1,293027,66.0,pop
50,50,2010,51,Ludacris,My Chick Bad,2010-01-01,0.624,0.723,-6.782,0.378,0.172,0.0,0.483,0.757,84.789,1,1,216933,66.0,hip hop
51,51,2010,52,Timbaland,Carry Out (Featuring Justin Timberlake),2009-01-01,0.531,0.574,-6.693,0.113,0.114,0.0308,0.256,0.272,115.68,10,0,232467,67.0,pop
52,52,2010,53,The Band Perry,If I Die Young,2010-01-01,0.606,0.497,-6.611,0.0277,0.348,0.0,0.275,0.362,130.739,4,1,222773,66.0,contemporary country
53,53,2010,54,Jason Derulo,Whatcha Say,2010-02-24,0.615,0.711,-5.507,0.0779,0.0444,0.0,0.145,0.711,144.036,11,1,221253,65.0,pop
54,54,2010,55,Cali Swag District,Teach Me How to Dougie,2011-07-12,0.846,0.438,-4.981,0.141,0.2,9.43e-05,0.0939,0.512,85.013,11,1,237480,65.0,hip hop
55,55,2010,56,Black Eyed Peas,Imma Be,2009-01-01,0.597,0.517,-6.963,0.366,0.179,0.0,0.307,0.413,92.035,0,1,257560,65.0,pop
56,56,2010,57,Miley Cyrus,Can't Be Tamed,2010-01-01,0.63,0.91,-2.919,0.144,0.0287,0.0,0.196,0.743,116.98,11,0,168213,65.0,pop
57,57,2010,58,JAY-Z,Young Forever,2009-09-08,0.637,0.69,-3.214,0.0693,0.417,0.0,0.211,0.103,140.329,9,0,253907,64.0,hip hop
58,58,2010,59,Drake,Find Your Love,2010-01-01,0.627,0.614,-6.006,0.17,0.0211,0.0,0.0286,0.758,96.038,6,0,208947,64.0,hip hop
59,59,2010,60,Taylor Swift,Mine,2010-10-25,0.624,0.757,-2.94,0.0296,0.00265,1.87e-06,0.189,0.658,121.07,7,1,230707,64.0,pop
60,60,2010,61,John Mayer,Half of My Heart,2009-11-13,0.681,0.593,-9.327,0.0251,0.435,0.000117,0.106,0.731,115.058,5,1,250373,64.0,singer-songwriter
61,61,2010,62,DJ Fresh,Gold Dust - Radio Edit,2010-07-30,0.451,0.948,-0.74,0.147,0.255,0.0,0.392,0.295,176.985,0,1,192447,63.0,dance
